Rank;Full Journal Title;ISSN;Journal Impact Factor
1631;COMMUNICATIONS OF THE ACM;0001-0782;3.301
6046;AIAA JOURNAL;0001-1452;1.326
1981;AICHE JOURNAL;0001-1541;2.980
11466;ASHRAE JOURNAL;0001-2491;0.223
6788;ASLIB PROCEEDINGS;0001-253X;1.147
6788;ASLIB PROCEEDINGS;0001-253X;1.147
3711;TISSUE ANTIGENS;0001-2815;2.046
2162;SEMINARS IN NUCLEAR MEDICINE;0001-2998;2.850
7179;Abacus-A Journal of Accounting Finance and Business Studies;0001-3072;1.058
8917;ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS;0001-3765;0.717
11981;BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE;0001-4079;0.014
426;ACADEMY OF MANAGEMENT JOURNAL;0001-4273;6.233
10091;IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS;0001-4338;0.500
10527;MATHEMATICAL NOTES;0001-4346;0.425
9140;OCEANOLOGY;0001-4370;0.675
3645;ACCIDENT ANALYSIS AND PREVENTION;0001-4575;2.070
5949;ACCOUNTING AND BUSINESS RESEARCH;0001-4788;1.347
3935;ACCOUNTING REVIEW;0001-4826;1.953
41;ACCOUNTS OF CHEMICAL RESEARCH;0001-4842;22.003
5127;JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;0001-4966;1.572
9764;ACTA ADRIATICA;0001-5113;0.561
3706;ACTA ANAESTHESIOLOGICA SCANDINAVICA;0001-5172;2.049
3824;ACTA ASTRONOMICA;0001-5237;2.000
6629;ACTA BIOCHIMICA POLONICA;0001-527X;1.187
9396;ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;0001-5296;0.625
8328;ACTA BIOTHEORETICA;0001-5342;0.825
9535;ACTA CARDIOLOGICA;0001-5385;0.600
9826;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;0001-5415;0.552
10687;ACTA CHIRURGICA BELGICA;0001-5458;0.394
1340;ACTA DERMATO-VENEREOLOGICA;0001-5555;3.638
8964;ACTA GASTRO-ENTEROLOGICA BELGICA;0001-5644;0.707
5251;HUMAN HEREDITY;0001-5652;1.539
7562;ACTA GEOLOGICA POLONICA;0001-5709;0.981
7547;CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION;0001-5733;0.984
7202;ACTA HAEMATOLOGICA;0001-5792;1.053
8885;ACTA INFORMATICA;0001-5903;0.722
1284;ACTA MATHEMATICA;0001-5962;3.719
4720;ACTA MECHANICA;0001-5970;1.694
4968;ACTA NEUROCHIRURGICA;0001-6268;1.617
2596;ACTA NEUROLOGICA SCANDINAVICA;0001-6314;2.559
157;ACTA NEUROPATHOLOGICA;0001-6322;11.360
3338;ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;0001-6349;2.191
6694;ACTA ODONTOLOGICA SCANDINAVICA;0001-6357;1.171
8300;ACTA OECONOMICA;0001-6373;0.831
8271;ACTA ORNITHOLOGICA;0001-6454;0.837
8271;Acta Orthopaedica Belgica;0001-6462;0.837
6878;ACTA OTO-LARYNGOLOGICA;0001-6489;1.127
10185;B-ENT;0001-6497;0.487
8597;Acta Politica;0001-6810;0.773
8067;ACTA POLONIAE PHARMACEUTICA;0001-6837;0.877
440;ACTA PSYCHIATRICA SCANDINAVICA;0001-690X;6.128
440;ACTA PSYCHIATRICA SCANDINAVICA;0001-690X;6.128
4329;ACTA PSYCHOLOGICA;0001-6918;1.816
6514;ACTA SOCIETATIS BOTANICORUM POLONIAE;0001-6977;1.213
6774;ACTA SOCIOLOGICA;0001-6993;1.150
7739;ACTA THERIOLOGICA;0001-7051;0.944
2949;ACTA TROPICA;0001-706X;2.380
10446;ACTA VETERINARIA BRNO;0001-7213;0.442
6471;ACTA VIROLOGICA;0001-723X;1.222
7526;ACTA ZOOLOGICA;0001-7272;0.989
4800;GENERAL RELATIVITY AND GRAVITATION;0001-7701;1.668
11499;AKTUELLE UROLOGIE;0001-7868;0.215
1656;BEHAVIOR GENETICS;0001-8244;3.268
1656;BEHAVIOR GENETICS;0001-8244;3.268
599;ADMINISTRATIVE SCIENCE QUARTERLY;0001-8392;5.316
9251;ADVANCES IN APPLIED PROBABILITY;0001-8678;0.654
294;ADVANCES IN COLLOID AND INTERFACE SCIENCE;0001-8686;7.813
5744;ADVANCES IN MATHEMATICS;0001-8708;1.405
63;ADVANCES IN PHYSICS;0001-8732;18.000
2289;JOURNAL OF VOCATIONAL BEHAVIOR;0001-8791;2.764
7435;Aequationes Mathematicae;0001-9054;1.000
9910;AERONAUTICAL JOURNAL;0001-9240;0.537
11499;AFINIDAD;0001-9704;0.215
7371;AFRICA;0001-9720;1.017
4064;AFRICAN AFFAIRS;0001-9909;1.904
11253;AFRICAN STUDIES;0002-0184;0.273
8769;African Studies Review;0002-0206;0.741
9870;Africa Spectrum;0002-0397;0.543
6821;JOURNAL OF NURSING ADMINISTRATION;0002-0443;1.140
6821;JOURNAL OF NURSING ADMINISTRATION;0002-0443;1.140
1000;AGE AND AGEING;0002-0729;4.201
10173;German Journal of Agricultural Economics;0002-1121;0.489
11932;AGRICULTURAL HISTORY;0002-1482;0.050
11932;AGRICULTURAL HISTORY;0002-1482;0.050
11055;AGROCHIMICA;0002-1857;0.317
5521;AGRONOMY JOURNAL;0002-1962;1.464
330;ALDRICHIMICA ACTA;0002-5100;7.417
9983;Algebra and Logic;0002-5232;0.524
10951;ALGEBRA UNIVERSALIS;0002-5240;0.344
10734;ALLGEMEINE FORST UND JAGDZEITUNG;0002-5852;0.386
10463;Ambix;0002-6980;0.438
5719;AMEGHINIANA;0002-7014;1.411
4687;ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE;0002-7162;1.708
7124;AMERICAN ANNALS OF THE DEAF;0002-726X;1.071
4632;AMERICAN ANTHROPOLOGIST;0002-7294;1.725
3859;AMERICAN ANTIQUITY;0002-7316;1.988
4057;AMERICAN BEHAVIORAL SCIENTIST;0002-7642;1.907
11434;AMERICAN BIOLOGY TEACHER;0002-7685;0.229
9683;AMERICAN BUSINESS LAW JOURNAL;0002-7766;0.576
8516;AMERICAN CERAMIC SOCIETY BULLETIN;0002-7812;0.789
2256;JOURNAL OF THE AMERICAN CERAMIC SOCIETY;0002-7820;2.787
122;JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;0002-7863;13.038
