Full Journal Title;ISSN;Journal Impact Factor
COMMUNICATIONS OF THE ACM;00010782;3.301
AIAA JOURNAL;00011452;1.326
AICHE JOURNAL;00011541;2.980
ASHRAE JOURNAL;00012491;0.223
ASLIB PROCEEDINGS;0001253X;1.147
ASLIB PROCEEDINGS;0001253X;1.147
TISSUE ANTIGENS;00012815;2.046
SEMINARS IN NUCLEAR MEDICINE;00012998;2.850
Abacus-A Journal of Accounting Finance and Business Studies;00013072;1.058
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS;00013765;0.717
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE;00014079;0.014
ACADEMY OF MANAGEMENT JOURNAL;00014273;6.233
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS;00014338;0.500
MATHEMATICAL NOTES;00014346;0.425
OCEANOLOGY;00014370;0.675
ACCIDENT ANALYSIS AND PREVENTION;00014575;2.070
ACCOUNTING AND BUSINESS RESEARCH;00014788;1.347
ACCOUNTING REVIEW;00014826;1.953
ACCOUNTS OF CHEMICAL RESEARCH;00014842;22.003
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;00014966;1.572
ACTA ADRIATICA;00015113;0.561
ACTA ANAESTHESIOLOGICA SCANDINAVICA;00015172;2.049
ACTA ASTRONOMICA;00015237;2.000
ACTA BIOCHIMICA POLONICA;0001527X;1.187
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;00015296;0.625
ACTA BIOTHEORETICA;00015342;0.825
ACTA CARDIOLOGICA;00015385;0.600
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;00015415;0.552
ACTA CHIRURGICA BELGICA;00015458;0.394
ACTA DERMATO-VENEREOLOGICA;00015555;3.638
ACTA GASTRO-ENTEROLOGICA BELGICA;00015644;0.707
HUMAN HEREDITY;00015652;1.539
ACTA GEOLOGICA POLONICA;00015709;0.981
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION;00015733;0.984
ACTA HAEMATOLOGICA;00015792;1.053
ACTA INFORMATICA;00015903;0.722
ACTA MATHEMATICA;00015962;3.719
ACTA MECHANICA;00015970;1.694
ACTA NEUROCHIRURGICA;00016268;1.617
ACTA NEUROLOGICA SCANDINAVICA;00016314;2.559
ACTA NEUROPATHOLOGICA;00016322;11.360
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;00016349;2.191
ACTA ODONTOLOGICA SCANDINAVICA;00016357;1.171
ACTA OECONOMICA;00016373;0.831
ACTA ORNITHOLOGICA;00016454;0.837
Acta Orthopaedica Belgica;00016462;0.837
ACTA OTO-LARYNGOLOGICA;00016489;1.127
B-ENT;00016497;0.487
Acta Politica;00016810;0.773
ACTA POLONIAE PHARMACEUTICA;00016837;0.877
ACTA PSYCHIATRICA SCANDINAVICA;0001690X;6.128
ACTA PSYCHIATRICA SCANDINAVICA;0001690X;6.128
ACTA PSYCHOLOGICA;00016918;1.816
ACTA SOCIETATIS BOTANICORUM POLONIAE;00016977;1.213
ACTA SOCIOLOGICA;00016993;1.150
ACTA THERIOLOGICA;00017051;0.944
ACTA TROPICA;0001706X;2.380
ACTA VETERINARIA BRNO;00017213;0.442
ACTA VIROLOGICA;0001723X;1.222
ACTA ZOOLOGICA;00017272;0.989
GENERAL RELATIVITY AND GRAVITATION;00017701;1.668
AKTUELLE UROLOGIE;00017868;0.215
BEHAVIOR GENETICS;00018244;3.268
BEHAVIOR GENETICS;00018244;3.268
ADMINISTRATIVE SCIENCE QUARTERLY;00018392;5.316
ADVANCES IN APPLIED PROBABILITY;00018678;0.654
ADVANCES IN COLLOID AND INTERFACE SCIENCE;00018686;7.813
ADVANCES IN MATHEMATICS;00018708;1.405
ADVANCES IN PHYSICS;00018732;18.000
JOURNAL OF VOCATIONAL BEHAVIOR;00018791;2.764
Aequationes Mathematicae;00019054;1.000
AERONAUTICAL JOURNAL;00019240;0.537
AFINIDAD;00019704;0.215
AFRICA;00019720;1.017
AFRICAN AFFAIRS;00019909;1.904
AFRICAN STUDIES;00020184;0.273
African Studies Review;00020206;0.741
Africa Spectrum;00020397;0.543
JOURNAL OF NURSING ADMINISTRATION;00020443;1.140
JOURNAL OF NURSING ADMINISTRATION;00020443;1.140
AGE AND AGEING;00020729;4.201
German Journal of Agricultural Economics;00021121;0.489
AGRICULTURAL HISTORY;00021482;0.050
AGRICULTURAL HISTORY;00021482;0.050
AGROCHIMICA;00021857;0.317
AGRONOMY JOURNAL;00021962;1.464
ALDRICHIMICA ACTA;00025100;7.417
Algebra and Logic;00025232;0.524
ALGEBRA UNIVERSALIS;00025240;0.344
ALLGEMEINE FORST UND JAGDZEITUNG;00025852;0.386
Ambix;00026980;0.438
AMEGHINIANA;00027014;1.411
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE;00027162;1.708
AMERICAN ANNALS OF THE DEAF;0002726X;1.071
AMERICAN ANTHROPOLOGIST;00027294;1.725
AMERICAN ANTIQUITY;00027316;1.988
AMERICAN BEHAVIORAL SCIENTIST;00027642;1.907
AMERICAN BIOLOGY TEACHER;00027685;0.229
AMERICAN BUSINESS LAW JOURNAL;00027766;0.576
AMERICAN CERAMIC SOCIETY BULLETIN;00027812;0.789
JOURNAL OF THE AMERICAN CERAMIC SOCIETY;00027820;2.787
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;00027863;13.038
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION;00028177;1.767
AMERICAN ECONOMIC REVIEW;00028282;3.833
AMERICAN EDUCATIONAL RESEARCH JOURNAL;00028312;2.924
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY;00028320;0.647
AMERICAN FAMILY PHYSICIAN;0002838X;1.876
AMERICAN FERN JOURNAL;00028444;0.583
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY;00028487;1.469
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;00028614;3.842
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;00028614;3.842
AMERICAN HEART JOURNAL;00028703;4.332
JOURNAL OF THE AMERICAN HELICOPTER SOCIETY;00028711;0.852
AMERICAN HISTORICAL REVIEW;00028762;1.339
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS;00029092;1.436
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS;00029092;1.436
AMERICAN JOURNAL OF BOTANY;00029122;2.811
AMERICAN JOURNAL OF CARDIOLOGY;00029149;3.154
AMERICAN JOURNAL OF CLINICAL HYPNOSIS;00029157;0.367
AMERICAN JOURNAL OF CLINICAL NUTRITION;00029165;6.703
AMERICAN JOURNAL OF CLINICAL PATHOLOGY;00029173;2.278
AMERICAN JOURNAL OF COMPARATIVE LAW;0002919X;1.721
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY;00029246;0.273
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE;00029254;1.579
AMERICAN JOURNAL OF EPIDEMIOLOGY;00029262;5.036
AMERICAN JOURNAL OF GASTROENTEROLOGY;00029270;10.383
AMERICAN JOURNAL OF HUMAN GENETICS;00029297;10.794
AMERICAN JOURNAL OF INTERNATIONAL LAW;00029300;1.895
AMERICAN JOURNAL OF MATHEMATICS;00029327;1.118
AMERICAN JOURNAL OF MEDICINE;00029343;5.610
AMERICAN JOURNAL OF NURSING;0002936X;1.605
AMERICAN JOURNAL OF NURSING;0002936X;1.605
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY;00029378;4.681
AMERICAN JOURNAL OF OPHTHALMOLOGY;00029394;3.831
AMERICAN JOURNAL OF ORTHOPSYCHIATRY;00029432;1.276
AMERICAN JOURNAL OF ORTHOPSYCHIATRY;00029432;1.276
AMERICAN JOURNAL OF PATHOLOGY;00029440;4.206
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION;00029459;1.196
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;00029483;2.402
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;00029483;2.402
AMERICAN JOURNAL OF PHYSICS;00029505;1.012
AMERICAN JOURNAL OF PSYCHIATRY;0002953X;13.505
AMERICAN JOURNAL OF PSYCHIATRY;0002953X;13.505
AMERICAN JOURNAL OF PSYCHOLOGY;00029556;0.761
AMERICAN JOURNAL OF SCIENCE;00029599;3.566
AMERICAN JOURNAL OF SOCIOLOGY;00029602;2.574
AMERICAN JOURNAL OF SURGERY;00029610;2.403
AMERICAN JOURNAL OF THE MEDICAL SCIENCES;00029629;1.575
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE;00029637;2.453
AMERICAN JOURNAL OF VETERINARY RESEARCH;00029645;1.124
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION;00029726;0.707
AMERICAN MATHEMATICAL MONTHLY;00029890;0.349
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY;00029939;0.700
TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY;00029947;1.196
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY;00030007;7.929
AMERICAN MIDLAND NATURALIST;00030031;0.592
AMERICAN MINERALOGIST;0003004X;1.918
AMERICAN MUSEUM NOVITATES;00030082;1.123
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY;00030090;5.952
AMERICAN NATURALIST;00030147;3.148
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY;0003021X;1.505
AMERICAN POLITICAL SCIENCE REVIEW;00030554;3.444
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION;00030651;0.459
AMERICAN PSYCHOLOGIST;0003066X;5.454
AMERICAN SCIENTIST;00030996;0.500
JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE;00031062;1.000
AMERICAN SOCIOLOGICAL REVIEW;00031224;3.989
AMERICAN SPEECH;00031283;0.262
AMERICAN STATISTICIAN;00031305;1.215
AMERICAN SURGEON;00031348;0.769
JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION;00031488;1.501
ANAESTHESIA;00032409;3.794
ANAESTHESIST;00032417;0.964
ANALYST;00032654;4.033
ANALYTICA CHIMICA ACTA;00032670;4.712
ANALYTICAL BIOCHEMISTRY;00032697;2.243
ANALYTICAL CHEMISTRY;00032700;5.886
ANALYTICAL LETTERS;00032719;1.088
Journal of the Anatomical Society of India;00032778;0.146
ANESTHESIA AND ANALGESIA;00032999;3.827
ANESTHESIOLOGY;00033022;5.555
ANGIOLOGY;00033197;2.931
ANGLE ORTHODONTIST;00033219;1.579
ANIMAL BEHAVIOUR;00033472;3.169
ANNALS OF SCIENCE;00033790;0.366
ANNALS OF SCIENCE;00033790;0.366
ANNALEN DER PHYSIK;00033804;3.443
ANNALES BOTANICI FENNICI;00033847;0.893
ANNALES DE BIOLOGIE CLINIQUE;00033898;0.284
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY;00034088;0.547
ANNALES D ENDOCRINOLOGIE;00034266;0.930
Annals of Telecommunications-Annales des Telecommunications;00034347;0.722
ANNALES MEDICO-PSYCHOLOGIQUES;00034487;0.255
ANNALES ZOOLOGICI;00034541;1.136
ANNALES ZOOLOGICI FENNICI;0003455X;0.753
Annali Italiani di Chirurgia;0003469X;0.395
ANNALS OF APPLIED BIOLOGY;00034746;2.103
ANNALS OF HUMAN GENETICS;00034800;1.889
ANNALS OF INTERNAL MEDICINE;00034819;16.593
ANNALS OF MATHEMATICS;0003486X;3.116
ANNALS OF OCCUPATIONAL HYGIENE;00034878;1.743
ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY;00034894;1.171
ANNALS OF PHYSICS;00034916;2.375
ANNALS OF SURGERY;00034932;8.569
ANNALS OF THE RHEUMATIC DISEASES;00034967;12.384
ANNALS OF THORACIC SURGERY;00034975;3.021
ANNEE PSYCHOLOGIQUE;00035033;0.418
ANTHROPOLOGICAL QUARTERLY;00035491;0.944
ANTHROPOLOGIE;00035521;0.537
ANTHROPOLOGISCHER ANZEIGER;00035548;0.426
ANTI-CORROSION METHODS AND MATERIALS;00035599;0.424
ANTIQUITY;0003598X;1.678
ANTITRUST LAW JOURNAL;00036056;1.651
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY;00036072;1.944
APPLICABLE ANALYSIS;00036811;0.815
APPLIED ACOUSTICS;0003682X;1.462
APPLIED BIOCHEMISTRY AND MICROBIOLOGY;00036838;0.671
APPLIED ECONOMICS;00036846;0.586
APPLIED ENTOMOLOGY AND ZOOLOGY;00036862;1.102
APPLIED ERGONOMICS;00036870;1.713
APPLIED ERGONOMICS;00036870;1.713
Applied Mechanics Reviews;00036900;4.784
APPLIED PHYSICS LETTERS;00036951;3.142
APPLIED SPECTROSCOPY;00037028;1.798
JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA;00037214;0.807
ARCHAEOLOGY IN OCEANIA;00038121;1.174
ARCHAEOMETRY;0003813X;1.364
ARCHIV DER MATHEMATIK;0003889X;0.462
ARCHIV FUR GEFLUGELKUNDE;00039098;0.487
Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene;0003925X;0.083
ARCHIV FUR TIERZUCHT-ARCHIVES OF ANIMAL BREEDING;00039438;0.493
ARCHIVE FOR HISTORY OF EXACT SCIENCES;00039519;0.333
ARCHIVE FOR HISTORY OF EXACT SCIENCES;00039519;0.333
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS;00039527;2.321
ARCHIVES EUROPEENNES DE SOCIOLOGIE;00039756;0.440
ARCHIVES ITALIENNES DE BIOLOGIE;00039829;0.610
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS;00039861;2.807
ARCHIVES OF DISEASE IN CHILDHOOD;00039888;3.231
ARCHIVES OF ORAL BIOLOGY;00039969;1.733
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE;00039985;2.631
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION;00039993;3.045
ARCHIVES OF SEXUAL BEHAVIOR;00040002;2.704
ARCHIVOS ESPANOLES DE UROLOGIA;00040614;0.307
ARCHIVOS LATINOAMERICANOS DE NUTRICION;00040622;0.221
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS;0004069X;2.464
ARCTIC;00040843;1.022
AREA;00040894;1.349
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology;00041254;0.971
ARKIV FOR MATEMATIK;00042080;0.744
Arquivos Brasileiros de Endocrinologia e Metabologia;00042730;1.028
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA;00042749;0.494
ARQUIVOS DE NEURO-PSIQUIATRIA;0004282X;0.937
ARTHRITIS AND RHEUMATISM;00043591;8.955
ARTIFICIAL INTELLIGENCE;00043702;3.333
ASIAN SURVEY;00044687;0.357
JOURNAL OF THE ACM;00045411;1.803
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;00045608;2.756
ANNALS OF CLINICAL BIOCHEMISTRY;00045632;2.119
ASTRONOMICAL JOURNAL;00046256;4.617
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN;00046264;1.961
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC;00046280;4.422
ASTRONOMISCHE NACHRICHTEN;00046337;0.956
ASTROPHYSICAL JOURNAL;0004637X;5.909
ASTROPHYSICS AND SPACE SCIENCE;0004640X;1.678
AUK;00048038;1.871
AUSTRALASIAN JOURNAL OF DERMATOLOGY;00048380;1.305
Australian Academic & Research Libraries;00048623;0.559
AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY;00048658;0.696
AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY;00048666;1.738
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY;00048674;3.536
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY;00048674;3.536
Journal of the Australian Ceramic Society;0004881X;0.960
AUSTRALIAN ECONOMIC HISTORY REVIEW;00048992;0.357
AUSTRALIAN ECONOMIC PAPERS;0004900X;0.200
Australian Economic Review;00049018;0.552
AUSTRALIAN FORESTRY;00049158;0.548
AUSTRALIAN GEOGRAPHER;00049182;1.193
AUSTRALIAN JOURNAL OF CHEMISTRY;00049425;1.427
AUSTRALIAN JOURNAL OF EDUCATION;00049441;0.564
AUSTRALIAN JOURNAL OF POLITICS AND HISTORY;00049522;0.316
AUSTRALIAN JOURNAL OF PSYCHOLOGY;00049530;1.035
AUSTRALIAN JOURNAL OF ZOOLOGY;0004959X;0.591
Australian Library Journal;00049670;0.214
BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY;00049727;0.566
AUSTRALIAN PSYCHOLOGIST;00050067;0.724
AUSTRALIAN VETERINARY JOURNAL;00050423;0.699
AUTOMATICA;00051098;3.635
Automatika;00051144;0.311
AUTOMATION AND REMOTE CONTROL;00051179;0.265
AVIAN DISEASES;00052086;1.104
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS;00052728;4.864
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES;00052736;3.687
Bauingenieur;00056650;0.866
BEHAVIOR THERAPY;00057894;3.276
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY;00057916;2.193
BEHAVIOUR;00057959;1.315
BEHAVIOUR RESEARCH AND THERAPY;00057967;3.798
BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT;00059366;0.650
Beton- und Stahlbetonbau;00059900;0.431
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE;00062294;0.281
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;0006291X;2.371
BIOCHEMICAL GENETICS;00062928;0.952
BIOCHEMICAL PHARMACOLOGY;00062952;5.091
BIOCHEMISTRY;00062960;2.876
BIOCHEMISTRY-MOSCOW;00062979;1.421
BIOLOGIA;00063088;0.719
BIOLOGIA PLANTARUM;00063134;1.665
BIOLOGICAL BULLETIN;00063185;1.522
BIOLOGICAL CONSERVATION;00063207;3.985
BIOLOGICAL PSYCHIATRY;00063223;11.212
PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON;0006324X;0.757
BIOLOGY OF REPRODUCTION;00063363;3.471
BIOMETRICS;0006341X;1.360
BIOMETRIKA;00063444;1.130
BIOPHYSICAL JOURNAL;00063495;3.632
BIOPOLYMERS;00063525;2.248
BIORHEOLOGY;0006355X;0.981
BIOSCIENCE;00063568;4.294
BIOTECHNOLOGY AND BIOENGINEERING;00063592;4.243
BIOTROPICA;00063606;1.944
BIRD STUDY;00063657;0.888
BIT NUMERICAL MATHEMATICS;00063835;1.167
BLOOD;00064971;11.847
BLUMEA;00065196;0.419
BOIS ET FORETS DES TROPIQUES;0006579X;0.321
Bollettino di Geofisica Teorica ed Applicata;00066729;0.778
BOSTON UNIVERSITY LAW REVIEW;00068047;1.226
BOTANICA MARINA;00068055;1.250
BOTANICAL REVIEW;00068101;1.290
BOTHALIA;00068241;0.486
BOUNDARY-LAYER METEOROLOGY;00068314;2.455
BRAIN;00068950;10.103
BRAIN BEHAVIOR AND EVOLUTION;00068977;2.103
BRAIN RESEARCH;00068993;2.561
Bratislava Medical Journal-Bratislavske Lekarske Listy;00069248;0.454
BRITISH DENTAL JOURNAL;00070610;0.997
British Food Journal;0007070X;0.973
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE;00070874;0.706
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;00070882;1.738
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;00070882;1.738
BRITISH JOURNAL OF ANAESTHESIA;00070912;5.616
BRITISH JOURNAL OF CANCER;00070920;5.569
BRITISH JOURNAL OF CRIMINOLOGY;00070955;1.643
BRITISH JOURNAL OF DERMATOLOGY;00070963;4.317
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY;00070998;2.000
BRITISH JOURNAL OF EDUCATIONAL STUDIES;00071005;0.532
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;00071013;1.633
BRITISH JOURNAL OF HAEMATOLOGY;00071048;5.812
BRITISH JOURNAL OF INDUSTRIAL RELATIONS;00071080;1.820
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY;00071102;3.698
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY;00071102;3.698
BRITISH JOURNAL OF NUTRITION;00071145;3.311
BRITISH JOURNAL OF OPHTHALMOLOGY;00071161;3.036
BRITISH JOURNAL OF PHARMACOLOGY;00071188;5.259
BRITISH JOURNAL OF POLITICAL SCIENCE;00071234;3.120
BRITISH JOURNAL OF PSYCHIATRY;00071250;7.060
BRITISH JOURNAL OF PSYCHIATRY;00071250;7.060
BRITISH JOURNAL OF PSYCHOLOGY;00071269;2.243
BRITISH JOURNAL OF RADIOLOGY;00071285;1.840
BRITISH JOURNAL OF SOCIOLOGY;00071315;1.871
BRITISH JOURNAL OF SURGERY;00071323;5.596
BRITISH MEDICAL BULLETIN;00071420;2.921
BRITISH POULTRY SCIENCE;00071668;0.933
BRITTONIA;0007196X;0.652
Brodogradnja;0007215X;0.312
BROOKINGS PAPERS ON ECONOMIC ACTIVITY;00072303;2.217
BRYOLOGIST;00072745;1.077
BULLETIN DES SCIENCES MATHEMATIQUES;00074497;0.664
BULLETIN DU CANCER;00074551;0.706
BULLETIN OF ENTOMOLOGICAL RESEARCH;00074853;1.761
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY;00074861;1.191
BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE;00074888;0.448
BULLETIN OF INDONESIAN ECONOMIC STUDIES;00074918;0.697
BULLETIN OF MARINE SCIENCE;00074977;1.856
Labmedicine;00075027;0.561
BULLETIN OF THE HISTORY OF MEDICINE;00075140;0.632
BULLETIN OF THE HISTORY OF MEDICINE;00075140;0.632
MITTEILUNGEN KLOSTERNEUBURG;00075922;0.176
Business & Society;00076503;2.135
BUSINESS HISTORY;00076791;0.709
BUSINESS HISTORY REVIEW;00076805;0.634
BUSINESS HORIZONS;00076813;1.008
BUSINESS LAWYER;00076899;0.531
CIRP ANNALS-MANUFACTURING TECHNOLOGY;00078506;2.492
CA-A CANCER JOURNAL FOR CLINICIANS;00079235;137.578
CAHIERS DE BIOLOGIE MARINE;00079723;0.600
CALCOLO;00080624;0.816
CALIFORNIA AGRICULTURE;00080845;0.846
CALIFORNIA FISH AND GAME;00081078;0.186
CALIFORNIA LAW REVIEW;00081221;3.091
CALIFORNIA MANAGEMENT REVIEW;00081256;1.109
Cambridge Law Journal;00081973;0.353
CANADIAN ENTOMOLOGIST;0008347X;1.000
CANADIAN FAMILY PHYSICIAN;0008350X;1.584
CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN;00083658;0.878
CANADIAN GEOTECHNICAL JOURNAL;00083674;1.877
CANADIAN HISTORICAL REVIEW;00083755;0.250
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE;00083976;1.291
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE;00083976;1.291
CANADIAN JOURNAL OF ANIMAL SCIENCE;00083984;0.724
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT;0008400X;0.647
CANADIAN JOURNAL OF CHEMICAL ENGINEERING;00084034;1.066
CANADIAN JOURNAL OF CHEMISTRY;00084042;1.003
CANADIAN JOURNAL OF EARTH SCIENCES;00084077;1.190
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE;00084085;0.500
CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES;0008414X;0.618
CANADIAN JOURNAL OF MICROBIOLOGY;00084166;1.335
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie;00084174;1.179
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie;00084174;1.179
CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE;00084182;1.460
CANADIAN JOURNAL OF PHYSICS;00084204;0.724
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY;00084212;1.704
CANADIAN JOURNAL OF PLANT SCIENCE;00084220;0.727
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE;00084239;0.449
CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE;00084263;1.466
CANADIAN JOURNAL OF SOIL SCIENCE;00084271;1.210
CANADIAN JOURNAL OF SURGERY;0008428X;1.546
CANADIAN JOURNAL OF ZOOLOGY;00084301;1.520
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES;00084395;0.384
CANADIAN METALLURGICAL QUARTERLY;00084433;0.479
CANADIAN MINERALOGIST;00084476;0.862
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES;00084506;0.538
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA;00084840;0.300
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE;00085286;0.639
CANCER;0008543X;5.649
CANCER RESEARCH;00085472;8.556
CARBOHYDRATE RESEARCH;00086215;1.817
CARBON;00086223;6.198
CARDIOLOGY;00086312;1.994
CARDIOVASCULAR RESEARCH;00086363;5.465
CARIBBEAN JOURNAL OF SCIENCE;00086452;0.217
CARIES RESEARCH;00086568;2.278
CARTOGRAPHIC JOURNAL;00087041;0.569
CARYOLOGIA;00087114;0.494
CASTANEA;00087475;0.255
CATHOLIC UNIVERSITY LAW REVIEW;00088390;0.281
CELLULAR IMMUNOLOGY;00088749;2.399
CEMENT AND CONCRETE RESEARCH;00088846;3.480
CENTAURUS;00088994;0.387
CENTAURUS;00088994;0.387
CENTRAL EUROPEAN HISTORY;00089389;0.271
CEREAL CHEMISTRY;00090352;1.036
CESKOSLOVENSKA PSYCHOLOGIE;0009062X;0.236
CHEMICAL & ENGINEERING NEWS;00092347;0.330
CHEMICAL & PHARMACEUTICAL BULLETIN;00092363;1.228
CHEMICAL ENGINEERING;00092460;0.211
CHEMICAL ENGINEERING SCIENCE;00092509;2.750
CHEMICAL GEOLOGY;00092541;3.482
CHEMICAL PHYSICS LETTERS;00092614;1.860
CHEMICAL REVIEWS;00092665;37.369
BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN;00092673;1.372
CHEMICKE LISTY;00092770;0.279
CHEMICO-BIOLOGICAL INTERACTIONS;00092797;2.618
CHEMIE DER ERDE-GEOCHEMISTRY;00092819;1.622
CHEMIE IN UNSERER ZEIT;00092851;0.258
CHEMIE INGENIEUR TECHNIK;0009286X;0.798
CHEMISTRY & INDUSTRY;00093068;0.129
CHEMISTRY AND PHYSICS OF LIPIDS;00093084;2.901
CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS;00093092;0.273
Chemistry of Heterocyclic Compounds;00093122;0.815
CHEMISTRY OF NATURAL COMPOUNDS;00093130;0.473
